Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RA Jadeja (IND),2024-2024,8,5,2,35,17,11.66,22,159.09,0,0,1,3,1
CJA Amini (PNG),2024-2024,3,3,0,34,17,11.33,53,64.15,0,0,0,2,0
Fakhar Zaman (PAK),2024-2024,4,4,0,33,13,8.25,30,110.0,0,0,0,1,2
PHKD Mendis (SL),2024-2024,3,3,0,32,17,10.66,40,80.0,0,0,0,3,1
DS Airee (NEP),2024-2024,3,3,0,32,25,10.66,48,66.66,0,0,0,2,1
M Jansen (SA),2024-2024,9,6,2,32,21,8.0,33,96.96,0,0,1,1,1
A Vala (PNG),2024-2024,4,4,0,30,21,7.5,42,71.42,0,0,1,3,1
SC van Schalkwyk (USA),2024-2024,4,3,2,29,18,29.0,27,107.4,0,0,0,4,0
ZE Green (NAM),2024-2024,4,3,0,29,28,9.66,33,87.87,0,0,1,1,1
KS Williamson (NZ),2024-2024,4,3,1,28,18,14.0,32,87.5,0,0,0,3,0
Taskin Ahmed (BAN),2024-2024,6,5,3,28,13,14.0,33,84.84,0,0,1,3,0
MS Wade (AUS),2024-2024,7,4,2,27,17,13.5,24,112.5,0,0,0,3,0
Zeeshan Maqsood (OMA),2024-2024,4,4,0,27,22,6.75,36,75.0,0,0,0,4,0
J Miyagi (UGA),2024-2024,3,3,1,26,13,13.0,37,70.27,0,0,1,0,0
MJ Santner (NZ),2024-2024,4,2,1,25,21,25.0,20,125.0,0,0,0,0,3
A Dutt (NED),2024-2024,2,2,1,25,15,25.0,20,125.0,0,0,0,2,1
LV van Beek (NED),2024-2024,4,3,0,25,23,8.33,26,96.15,0,0,1,3,0
Pargat Singh (CAN),2024-2024,3,3,0,25,18,8.33,27,92.59,0,0,0,2,0
Shakeel Ahmed (OMA),2024-2024,3,3,1,25,11,12.5,21,119.04,0,0,0,3,0
H Hiri (PNG),2024-2024,4,4,0,25,15,6.25,39,64.1,0,0,0,3,0
K Bhurtel (NEP),2024-2024,3,3,0,24,13,8.0,39,61.53,0,0,0,3,1
CA Soper (PNG),2024-2024,4,4,0,24,10,6.0,52,46.15,0,0,0,1,0
Milind Kumar (USA),2024-2024,2,2,0,23,19,11.5,27,85.18,0,0,0,1,0
Iftikhar Ahmed (PAK),2024-2024,2,2,0,23,18,11.5,23,100.0,0,0,0,3,0
Saim Ayub (PAK),2024-2024,2,2,0,23,17,11.5,29,79.31,0,0,0,2,1
C Campher (IRE),2024-2024,3,3,0,23,12,7.66,29,79.31,0,0,0,2,1
R Shepherd (WI),2024-2024,4,3,2,23,13,23.0,25,92.0,0,0,0,1,1
JC Archer (ENG),2024-2024,8,2,1,22,21,22.0,17,129.41,0,0,0,1,2
A Balbirnie (IRE),2024-2024,3,3,0,22,17,7.33,32,68.75,0,0,1,2,0
LJ Tucker (IRE),2024-2024,3,3,0,22,10,7.33,30,73.33,0,0,0,2,0
Najibullah Zadran (AFG),2024-2024,5,4,1,22,19,7.33,23,95.65,0,0,1,0,2
JJ Smit (NAM),2024-2024,4,4,1,22,11,7.33,30,73.33,0,0,0,1,1
AJ Hosein (WI),2024-2024,7,2,0,21,15,10.5,28,75.0,0,0,0,1,1
A Nao (PNG),2024-2024,4,4,0,21,13,5.25,32,65.62,0,0,1,2,0
R Obuya (UGA),2024-2024,4,4,0,21,14,5.25,36,58.33,0,0,1,1,1
PW Hasaranga (SL),2024-2024,3,3,1,20,20,10.0,9,222.22,0,0,2,1,2
Gulsan Jha (NEP),2024-2024,3,3,0,20,14,6.66,25,80.0,0,0,1,1,1
BFW de Leede (NED),2024-2024,4,4,1,20,11,6.66,33,60.6,0,0,1,1,0
Usman Khan (PAK),2024-2024,4,4,1,20,13,6.66,22,90.9,0,0,0,1,0
Imad Wasim (PAK),2024-2024,3,2,0,19,15,9.5,29,65.51,0,0,0,2,0
N Vanua (PNG),2024-2024,3,3,0,19,14,6.33,30,63.33,0,0,1,1,1
K Waiswa (UGA),2024-2024,3,3,1,19,11,9.5,44,43.18,0,0,0,2,0
DS Bajwa (CAN),2024-2024,2,2,0,18,11,9.0,14,128.57,0,0,0,2,1
Karan KC (NEP),2024-2024,2,1,0,17,17,17.0,12,141.66,0,0,0,0,2
Abbas Afridi (PAK),2024-2024,1,1,0,17,17,17.0,21,80.95,0,0,0,1,1
